drug_name,num_prescriber,total_cost
PATADAY,17741,124504134
OPANA ER,6114,122981024
TOLTERODINE TARTRATE ER,26970,120905366
GAMUNEX-C,630,119739508
PROCRIT,3913,119539676
LIALDA,6839,116502423
NUEDEXTA,6822,115660798
BUPROPION XL,75976,115481491
ABILIFY MAINTENA,2648,115140350
DIVALPROEX SODIUM,54434,114841641
XELJANZ,1466,113710001
CARVEDILOL,173208,112728424
PRISTIQ ER,16565,112443468
VENTOLIN HFA,69244,111855578
QVAR,22582,110495382
HUMULIN 70-30,15378,110186276
AGGRENOX,13859,109865255
HUMULIN R U-500,2474,107297632
NIACIN ER,23462,107101321
ENALAPRIL MALEATE,87331,106817014
VENLAFAXINE HCL ER,103846,106146531
LATANOPROST,53758,106068304
AZOPT,9775,105927406
ESCITALOPRAM OXALATE,135158,105590203
VALSARTAN-HYDROCHLOROTHIAZIDE,75744,105590136
DICLOFENAC SODIUM,50936,105161549
PROLASTIN C,684,103855968
SERTRALINE HCL,176507,103646360
TRAMADOL HCL,201587,101272228
NEXAVAR,559,101117630
VICTOZA 2-PAK,9571,100296371
NOVOLIN 70-30,18384,100036668
TIKOSYN,4012,99908002
NOVOLOG MIX 70-30,8955,99829603
HYDROCHLOROTHIAZIDE,206263,99583030
ALPRAZOLAM,161431,99188256
BREO ELLIPTA,10053,97453386
OLANZAPINE,52423,97264451
ADEMPAS,433,97172181
TIZANIDINE HCL,68252,96429002
TOVIAZ,14360,94377128
CLOZAPINE,16819,94310821
INTELENCE,2578,93122986
ZIPRASIDONE HCL,22253,92942197
RAPAFLO,9264,92935065
FINASTERIDE,86874,91567818
VALGANCICLOVIR HCL,1216,90360314
LEVETIRACETAM,66328,90164750
FLUOXETINE HCL,133211,89854283
ECONAZOLE NITRATE,10992,89755499
ZOLPIDEM TARTRATE,151421,89222740
BUDESONIDE EC,5263,89124950
ILEVRO,4202,89090764
MIRTAZAPINE,102071,88874498
ISOSORBIDE MONONITRATE ER,104521,88021957
PROLIA,3228,87620659
ATENOLOL,169491,86525819
HUMULIN N,14834,86281570
CHLORPROMAZINE HCL,7852,86076600
ADVAIR HFA,9049,85435939
NIFEDIPINE ER,64985,85152954
DIGOXIN,59499,84912683
SANTYL,9590,84435463
RANITIDINE HCL,132306,84247984
PREDNISONE,209927,83533170
DOXAZOSIN MESYLATE,70756,83517253
DUREZOL,5978,83494386
CINRYZE,96,83356735
CIMZIA,1182,82778582
PIOGLITAZONE HCL,56222,82188397
LIDOCAINE-PRILOCAINE,13219,82139096
URSODIOL,10068,82124051
TRAZODONE HCL,166145,81769979
CARBIDOPA-LEVODOPA,46124,81664108
COLCRYS,16026,81625055
BACLOFEN,78855,81225183
DIOVAN,17120,80906890
BRILINTA,9112,80014887
AMLODIPINE BESYLATE-BENAZEPRIL,57200,77898791
VIEKIRA PAK,134,76476352
LOSARTAN-HYDROCHLOROTHIAZIDE,111185,74872564
BRIMONIDINE TARTRATE,22348,74242865
LANSOPRAZOLE,53325,74132010
COLCHICINE,18103,72977089
DALIRESP,10198,72973790
LORAZEPAM,154549,72842534
PAROXETINE HCL,113284,72167375
AMITRIPTYLINE HCL,101683,71539453
JANUMET XR,7916,71189161
SAPHRIS,4443,71019131
MEMANTINE HCL,28293,70515411
MODAFINIL,7608,70504084
OXYBUTYNIN CHLORIDE,69586,70482577
REBIF REBIDOSE,655,70367182
GLIMEPIRIDE,94668,69848253
HUMALOG MIX 75-25,6063,69830053
EXEMESTANE,5532,69546036
HYDRALAZINE HCL,88725,69056744
POLYETHYLENE GLYCOL 3350,76103,69053861
SEROSTIM,193,68939943
VIGAMOX,5984,68480583
CITALOPRAM HBR,158589,68272730
SIMPONI,889,67759996
RISPERIDONE,69891,67444401
DILTIAZEM 24HR ER,44078,65830275
CALCIUM ACETATE,12293,65605707
CARBAMAZEPINE,32808,64582252
TUDORZA PRESSAIR,7980,64136184
CLONAZEPAM,143715,63848430
SPIRIVA RESPIMAT,6477,63178816
TIMOLOL MALEATE,29728,63107872
TARGRETIN,85,62800148
ALENDRONATE SODIUM,132489,61896300
ASACOL HD,4422,61872177
AZOR,9321,61605613
KEPPRA,2509,61488555
VOTRIENT,466,61397305
LAMICTAL,2418,60142973
LOTEMAX,6976,58808570
SUTENT,409,58773364
PATANOL,8893,58770897
LOVASTATIN,105543,58134645
SUSTIVA,2607,57442517
TRIAMCINOLONE ACETONIDE,88089,56989589
LIDODERM,5447,56984913
FOSRENOL,2100,56932928
AZITHROMYCIN,167239,56611331
ZEMAIRA,321,56545178
FLUOCINONIDE,16876,55955245
ORENITRAM ER,226,55324586
LISINOPRIL-HYDROCHLOROTHIAZIDE,129652,54887741
FIRAZYR,47,54721884
KALETRA,2283,54665537
GLUMETZA,979,54602949
METRONIDAZOLE,42846,54303668
DIGOX,44511,53529864
BYDUREON PEN,3904,53299953
CYCLOBENZAPRINE HCL,96775,53042111
PROPRANOLOL HCL ER,28650,52783517
EXJADE,427,52344031
BYETTA,4823,51597972
STELARA,241,51321681
BUTRANS,5590,51321391
MELOXICAM,138362,51117286
JUXTAPID,91,51032178
CLONIDINE,16102,50509536
METHYLPREDNISOLONE,73992,50145654
ESTRACE,8814,50055308
VAGIFEM,8615,49643658
PROLENSA,3583,49526511
CUBICIN,1004,49383390
TRIAMTERENE-HYDROCHLOROTHIAZID,98724,49048851
ELMIRON,2897,48535564
RIVASTIGMINE,11993,48247596
SPIRONOLACTONE,114733,48197341
NEUPRO,2952,47662941
CLOMIPRAMINE HCL,4443,47597093
FENOFIBRIC ACID,16763,47298588
FLUOROURACIL,7505,47013762
RAMIPRIL,64703,47012251
FANAPT,2046,47005153
ROPINIROLE HCL,71501,46992887
ONFI,1563,46918629
PENTASA,3200,46897174
KLOR-CON M20,61055,46888346
DILTIAZEM 24HR CD,51063,46816026
ATROVENT HFA,8597,46758684
DEXTROAMPHETAMINE-AMPHETAMINE,24545,46694644
BUSPIRONE HCL,70599,46676207
AZELASTINE HCL,23404,46381193
KETOCONAZOLE,38008,45632203
CARBAMAZEPINE ER,13491,45329652
APRISO,4546,45085079
BYDUREON,3876,44921296
THALOMID,345,44857942
CARTIA XT,48192,44709913
INSULIN SYRINGE,47767,44514760
NOVOLIN N,10916,44278709
BUPROPION HCL SR,61144,44016573
AMIODARONE HCL,53268,43995118
GATTEX,73,43866375
SUMATRIPTAN SUCCINATE,36974,43828297
PHENYTOIN SODIUM EXTENDED,41372,43648430
IBANDRONATE SODIUM,22991,43647069
ANORO ELLIPTA,4842,43627760
CHLORTHALIDONE,37913,43085435
BUDESONIDE,5856,42919328
TEMAZEPAM,70912,42882575
BUMETANIDE,33712,42877248
CARAFATE,8845,42526481
CLOTRIMAZOLE-BETAMETHASONE,35048,42233643
CIPROFLOXACIN HCL,161823,42152304
LEVOFLOXACIN,110120,41962074
DORZOLAMIDE-TIMOLOL,21996,41848458
VIIBRYD,8791,41329306
LABETALOL HCL,35971,41085126
NUVIGIL,3521,41007202
KOMBIGLYZE XR,5085,40712154
ENTACAPONE,5394,40002967
PROMACTA,442,39920006
CIALIS,6670,39529129
LEFLUNOMIDE,5791,39335103
GLIPIZIDE,108365,39317189
DEXTROAMPHETAMINE-AMPHET ER,11073,39247768
OXYMORPHONE HCL ER,3594,39214218
TAMIFLU,9599,39129551
FAMOTIDINE,86915,39060564
BANZEL,855,39001259
VANCOMYCIN HCL,7624,38917618
NOVOLIN R,10451,38888455
XOLAIR,663,38839464
POTASSIUM CITRATE ER,8520,38812505
OTEZLA,924,38705972
SELZENTRY,1101,38544375
IBUPROFEN,128247,38318062
ENTECAVIR,1710,38298853
ESTRADIOL,50268,38158071
AMOXICILLIN-CLAVULANATE POTASS,98144,38148201
NITROFURANTOIN MONO-MACRO,44619,38048335
LAMOTRIGINE,58617,37908835
TRIBENZOR,5659,37805163
VERAPAMIL ER,61506,37556881
XALKORI,213,37432401
NYSTATIN,50721,37404840
NEULASTA,275,37367804
PRAMIPEXOLE DIHYDROCHLORIDE,46668,37105262
VALACYCLOVIR,41825,37100306
BRINTELLIX,5015,37020444
AMANTADINE,12655,37001431
HALOPERIDOL,25808,36930747
DESONIDE,7910,36505940
SUPREP,6334,36220308
LIVALO,7477,36083987
INLYTA,181,35962975
HUMULIN R,10879,35916070
NEUPOGEN,626,35872532
PLEGRIDY PEN,304,35699768
ACETAMINOPHEN-CODEINE,81350,35379249
TOPIRAMATE,63273,35244202
OLYSIO,82,35152082
BESIVANCE,2493,34905095
PRIVIGEN,196,34397069
ASMANEX,7003,34368415
PROPRANOLOL HCL,62463,34141125
TACROLIMUS,4071,33912034
VASCEPA,3368,33785710
REMICADE,222,33750240
CARBIDOPA-LEVODOPA-ENTACAPONE,3750,33638971
OXCARBAZEPINE,25799,33582196
ZENPEP,2404,33458695
COREG CR,6217,33436522
ONDANSETRON HCL,50882,32993333
CLONIDINE HCL,103171,32814048
ACYCLOVIR,40766,32704552
NITROSTAT,50031,32362342
GLIPIZIDE ER,55117,32205828
TOPAMAX,1720,32064271
METHADONE HCL,27149,31879351
PROSOL,2049,31652062
CEFUROXIME,24559,31615671
BUPRENORPHINE-NALOXONE,3112,31575159
NADOLOL,15191,31212159
NYSTATIN-TRIAMCINOLONE,10185,30913135
TOPROL XL,23755,30911534
SUCRALFATE,33742,30649836
PREZCOBIX,688,30609888
IRBESARTAN,38626,30602659
JALYN,5649,30406077
ACTEMRA,545,30016479
ARANESP,1148,29863545
STRATTERA,4241,29743931
ISOSORBIDE DINITRATE,19712,29113969
MECLIZINE HCL,62225,29080569
AMLODIPINE-VALSARTAN,10346,28866365
FAZACLO,926,27798362
TOBRAMYCIN-DEXAMETHASONE,9280,27578606
FLECAINIDE ACETATE,15190,27488804
FLUCONAZOLE,67457,27344981
CARBIDOPA-LEVODOPA ER,13110,27297029
GILOTRIF,258,26989518
MIDODRINE HCL,15514,26927211
CELEBREX,4540,26920587
RENAGEL,1234,26893639
METOLAZONE,27328,26713786
METHYLPHENIDATE HCL,18087,26668610
JENTADUETO,2742,26645181
HUMULIN 70/30 KWIKPEN,2765,26565431
CEPHALEXIN,125348,25790047
PROPAFENONE HCL ER,2442,25761779
COUMADIN,12099,25743573
OLANZAPINE ODT,5290,25544804
VELPHORO,856,25519317
BENAZEPRIL HCL,76772,25229329
HIZENTRA,250,25227866
CALCITRIOL,21573,25210911
LEXIVA,934,25183287
APOKYN,71,24930248
DRONABINOL,3119,24924646
CALCIPOTRIENE,2670,24906393
NUCYNTA ER,2086,24866209
NORTHERA,180,24718509
TOUJEO SOLOSTAR,2020,24661331
SILDENAFIL,3019,24546159
SAVELLA,5334,24329702
TYSABRI,173,24314559
BERINERT,17,24296836
NEVANAC,2160,24206027
DILTIAZEM ER,29366,24124769
DELZICOL,2875,24002597
DIAZEPAM,92468,23789607
ERIVEDGE,146,23776128
ARALAST NP,172,23751651
BENZTROPINE MESYLATE,34066,23685520
FARXIGA,3086,23545866
BUTALBITAL-ACETAMINOPHEN-CAFFE,20003,23540095
REPAGLINIDE,8850,23488634
BETAMETHASONE DIPROPIONATE,11778,23471561
LAMICTAL XR,782,23328041
NAPROXEN,90783,23234820
VIAGRA,2134,23210464
GALANTAMINE HBR,8908,23144069
HYDROMORPHONE HCL,25636,23142902
AMOXICILLIN,157739,23118571
SIMBRINZA,5303,22970886
KETOROLAC TROMETHAMINE,10299,22906305
LAMOTRIGINE ER,2009,22850922
GEMFIBROZIL,51289,22705968
RISEDRONATE SODIUM,5221,22088779
CICLOPIROX,10598,21887018
VENLAFAXINE HCL,29050,21769346
VYVANSE,4232,21746990
NUCYNTA,2256,21676397
FONDAPARINUX SODIUM,731,21546974
CHANTIX,5169,21538915
MYCOPHENOLATE MOFETIL,7797,21476738
METHYLPHENIDATE ER,5336,21430846
VALCYTE,342,21414485
PREVACID,3289,21323429
PERPHENAZINE,8432,21271575
MUPIROCIN,46127,21267772
SULFAMETHOXAZOLE-TRIMETHOPRIM,118536,21241241
ROZEREM,4182,21159701
ALBUTEROL SULFATE,15678,21115012
CHOLESTYRAMINE,10702,20971463
ANASTROZOLE,18010,20809717
HYDROMORPHONE ER,1207,20797380
LACTULOSE,35297,20661602
PERCOCET,933,20571949
DAKLINZA,53,20571757
BENAZEPRIL-HYDROCHLOROTHIAZIDE,14052,20536325
INVANZ,2012,20496393
ACETAZOLAMIDE,7048,20430699
CAPTOPRIL,10335,20244692
LAMIVUDINE-ZIDOVUDINE,1742,20034342
AVONEX ADMINISTRATION PACK,250,19945587
QUINAPRIL HCL,38589,19882933
METHENAMINE HIPPURATE,6801,19814592
CEFDINIR,20562,19700199
DOXEPIN HCL,26179,19640331
GAMMAKED,99,19608129
ABACAVIR,2001,19421340
GLIPIZIDE-METFORMIN,9208,19382475
FELODIPINE ER,19247,19368018
STIVARGA,132,19319122
PARICALCITOL,2786,19240958
TERAZOSIN HCL,59618,19239382
GLIPIZIDE XL,35562,19206639
OXYCODONE HCL ER,1631,19120530
ETODOLAC,11686,18975477
KALYDECO,51,18927261
SABRIL,65,18887373
NOXAFIL,177,18884676
TORSEMIDE,31786,18684582
ENABLEX,3740,18550371
RITUXAN,111,18469733
HUMULIN N KWIKPEN,1783,18266765
EPIPEN 2-PAK,1949,18115666
NATEGLINIDE,7369,18039881
FENTORA,88,17953063
IPRATROPIUM BROMIDE,23065,17949338
ENDOCET,7739,17945161
WELLBUTRIN XL,834,17844858
PILOCARPINE HCL,7012,17743454
DURAGESIC,855,17742748
BOSULIF,133,17558497
MEKINIST,99,17547283
AVASTIN,116,17191054
PIOGLITAZONE-METFORMIN,4604,17169922
NIFEDICAL XL,25242,17152775
LEVOCETIRIZINE DIHYDROCHLORIDE,22206,17015802
PREMPRO,6368,16984221
FLUOROMETHOLONE,5199,16932545
NITROFURANTOIN,17251,16914411
IPRATROPIUM-ALBUTEROL,16270,16909543
SOTALOL,26915,16894124
ESZOPICLONE,15152,16745857
TELMISARTAN,11171,16733929
OFLOXACIN,10837,16669292
TOLTERODINE TARTRATE,8094,16640622
CIPRODEX,3905,16572344
SEREVENT DISKUS,3282,16355173
MOVIPREP,3752,16337322
KEPPRA XR,877,16288912
ZYDELIG,138,16264156
PRIMIDONE,28232,16220282
HYDROXYZINE HCL,34258,16182645
ORKAMBI,46,16111614
NABUMETONE,22253,16103380
TAFINLAR,103,16083102
TEKTURNA,4931,16070134
ZOLPIDEM TARTRATE ER,11350,15908951
HUMALOG MIX 50-50 KWIKPEN,794,15765233
RYTARY,630,15710920
MORPHINE SULFATE,21600,15673113
JADENU,95,15614682
LUPRON DEPOT,367,15611399
LYNPARZA,169,15561420
LOVAZA,2807,15352802
TRULICITY,1157,15314556
KUVAN,52,15307580
PHENOBARBITAL,20688,15208941
CLOZARIL,640,15174683
ACITRETIN,944,15101066
VIMOVO,437,15009489
CLINDAMYCIN PHOSPHATE,8015,14934121
AMMONIUM LACTATE,14046,14927176
AZATHIOPRINE,11961,14852647
COLESTIPOL HCL,7256,14632435
CILOSTAZOL,25639,14619593
CYMBALTA,3129,14567402
DILANTIN,9379,14541504
ATOVAQUONE,636,14527923
DIPHENOXYLATE-ATROPINE,22825,14431527
FORADIL,2667,14409003
ACTIMMUNE,21,14237715
CARISOPRODOL,26396,14186940
DORZOLAMIDE HCL,12831,14118657
BARACLUDE,525,14064402
SAMSCA,143,14044481
APTIOM,606,13985761
ONDANSETRON ODT,28905,13972525
GRALISE,1518,13930207
RAVICTI,16,13918985
TEGRETOL XR,3984,13822238
FETZIMA,2442,13810478
HALOPERIDOL DECANOATE,5599,13805650
KALBITOR,18,13776932
KLOR-CON M10,25964,13776661
NORTRIPTYLINE HCL,41320,13642769
BUPROPION HCL,18740,13627474
HYDROCORTISONE,26432,13617263
ATELVIA,1990,13608533
DESOXIMETASONE,3904,13516633
LAMIVUDINE,2298,13415537
ICLUSIG,59,13371224
TROSPIUM CHLORIDE,5041,13332615
PENNSAID,316,13318310
EDURANT,676,13266248
DEPAKOTE ER,1754,13125278
ZYPREXA,1000,13083281
BISOPROLOL FUMARATE,15370,13060497
ERYTHROMYCIN,13169,13055200
OCTAGAM,57,13012076
NITROGLYCERIN PATCH,16669,12887263
BALSALAZIDE DISODIUM,3373,12747085
TAMOXIFEN CITRATE,10546,12711739
NYSTOP,14382,12568402
PROGRAF,761,12561956
CALCITONIN-SALMON,9102,12545248
SOMAVERT,81,12327396
FLECTOR,1345,12309325
PYRIDOSTIGMINE BROMIDE,5511,12276659
DYMISTA,2906,12221831
GLASSIA,75,12039604
ACTONEL,2582,11946583
APIDRA SOLOSTAR,1178,11901476
TELMISARTAN-HYDROCHLOROTHIAZID,5546,11766135
CANASA,854,11707991
PROMETHAZINE HCL,37636,11696821
DILTIAZEM HCL,27492,11690332
TRAMADOL HCL-ACETAMINOPHEN,17600,11615875
GATIFLOXACIN,1452,11610012
TESTOSTERONE CYPIONATE,10658,11591894
MEGESTROL ACETATE,15291,11492943
SOLIRIS,25,11491591
METAXALONE,2824,11478289
GLYBURIDE,23940,11476740
SEROQUEL,1243,11473993
AMLODIPINE-ATORVASTATIN,3112,11378533
REVATIO,181,11337519
DESMOPRESSIN ACETATE,6117,11267976
CAYSTON,91,11235198
BETHANECHOL CHLORIDE,6501,11193160
TROSPIUM CHLORIDE ER,2528,11179153
LIPITOR,2434,11111075
ASPIRIN-DIPYRIDAMOLE ER,2162,11081184
HYDROCORTISONE VALERATE,3023,11049195
EPLERENONE,4386,11007748
OXYMORPHONE HCL,1795,10979848
DICYCLOMINE HCL,43531,10922913
METHAZOLAMIDE,1314,10895542
JARDIANCE,1290,10879862
LUMIZYME,15,10829914
CLOZAPINE ODT,849,10741102
THEOPHYLLINE ANHYDROUS,15511,10714654
TRANSDERM-SCOP,3930,10707152
EXFORGE,2523,10699380
TRILEPTAL,802,10624314
DEPAKOTE,1363,10612922
CEVIMELINE HCL,2178,10598303
ROPINIROLE ER,2061,10585293
ABACAVIR-LAMIVUDINE-ZIDOVUDINE,462,10562422
FELBAMATE,865,10542270
BOTOX,352,10526588
LIOTHYRONINE SODIUM,10317,10455369
CLOTRIMAZOLE,11931,10373877
LETROZOLE,9867,10237362
ATENOLOL-CHLORTHALIDONE,19940,10149576
NEVIRAPINE ER,721,10111337
ATIVAN,369,10045999
CEFTRIAXONE,6474,10026275
PROVENTIL HFA,6714,9983618
EXTAVIA,162,9958266
HUMALOG MIX 50-50,638,9939211
METHOCARBAMOL,22687,9842895
GLUCAGON EMERGENCY KIT,1722,9831255
PROGESTERONE,5460,9812375
PRAZOSIN HCL,13296,9757909
ZONEGRAN,398,9752808
FABRAZYME,27,9724539
VORICONAZOLE,439,9616494
MESTINON,508,9590517
TYKERB,143,9535464
HERCEPTIN,89,9530361
RELPAX,1385,9508838
SIROLIMUS,587,9502323
HALOBETASOL PROPIONATE,2311,9475420
EFFEXOR XR,1585,9469778
CHENODAL,13,9441615
BUPRENORPHINE HCL,2377,9428329
DICLOFENAC POTASSIUM,7103,9422543
PROTONIX,2062,9409871
PROCTOZONE-HC,6138,9369531
GAMMAPLEX,54,9306193
HETLIOZ,76,9261252
PULMICORT FLEXHALER,2306,9259382
TRAMADOL HCL ER,4043,9250002
OMEPRAZOLE-SODIUM BICARBONATE,992,9203090
FLUOCINOLONE ACETONIDE,2914,9184073
AMLODIPINE-VALSARTAN-HCTZ,2781,9166524
CUPRIMINE,62,9144739
FLOVENT DISKUS,2509,9097837
DILT-XR,12413,9096834
EMTRIVA,964,8963556
VELCADE,78,8951190
HYDROXYUREA,9379,8936119
PROPAFENONE HCL,8388,8931185
XOPENEX HFA,6634,8852975
DOXYCYCLINE MONOHYDRATE,14707,8832561
CARBIDOPA,464,8769834
MYCOPHENOLIC ACID,640,8730920
EDECRIN,546,8698680
RABEPRAZOLE SODIUM,6967,8698279
SPIRONOLACTONE-HCTZ,7257,8663455
ALCOHOL PREP PADS,8807,8648757
LENVIMA,33,8634822
CANDESARTAN CILEXETIL,4618,8595083
DIGITEK,10261,8554368
JANTOVEN,22734,8371176
PLAVIX,2452,8340060
KLOR-CON 10,15751,8325387
CLINDAMYCIN HCL,46546,8321249
ALFUZOSIN HCL ER,11259,8299461
METOCLOPRAMIDE HCL,37217,8260569
EXALGO,344,8214300
BICALUTAMIDE,8620,8181537
DUEXIS,200,8172532
TOBRADEX,1736,8136203
FLUPHENAZINE DECANOATE,2164,8103900
GLUCAGEN,1413,8089415
INVOKAMET,959,7987090
RISPERIDONE ODT,2338,7867984
LOVENOX,693,7861685
ZONISAMIDE,8445,7837250
TRETINOIN,2602,7816978
CEREZYME,22,7801005
MINOCYCLINE HCL,12210,7759727
ZIOPTAN,1862,7700948
TROKENDI XR,501,7700452
NISOLDIPINE,2056,7678543
TESTOSTERONE,1212,7668868
NORDITROPIN FLEXPRO,202,7622420
SILENOR,1242,7584298
CELLCEPT,341,7557011
NEOMYCIN-POLYMYXIN-DEXAMETH,11036,7537440
ESTRING,1267,7534726
XGEVA,196,7531302
ACIPHEX,953,7373907
RELISTOR,388,7290891
K-TAB ER,4704,7228040
EGRIFTA,102,7223718
ACARBOSE,4997,7180687
PHENYTOIN,8598,7120148
FELBATOL,222,7110915
PROVIGIL,268,7109829
MYSOLINE,184,7106786
IMIQUIMOD,2307,7098807
SULFASALAZINE,8952,7091335
DEXTROAMPHETAMINE SULFATE ER,1661,7076389
BEXAROTENE,17,7072229
IRBESARTAN-HYDROCHLOROTHIAZIDE,9090,7065232
NAGLAZYME,7,7056828
CLARITHROMYCIN,6712,7019549
BIDIL,1463,7017643
TANZEUM,882,6945346
LEXAPRO,1872,6931785
TEGRETOL,1896,6831546
BOOSTRIX TDAP,2219,6814063
PERMETHRIN,3078,6809022
NOVOFINE 32,6188,6808619
VALPROIC ACID,10636,6795710
GEODON,637,6791777
VIRACEPT,441,6780453
LEUKINE,31,6779670
TRELSTAR,92,6737761
SYPRINE,20,6700753
GENTAMICIN SULFATE,7852,6646309
NOVOFINE AUTOCOVER,3721,6610244
FLUVOXAMINE MALEATE,9605,6579947
VPRIV,12,6579195
PROCYSBI,8,6570002
