drug_name,num_prescriber,total_cost
OMEPRAZOLE,270568,437539181.78000176
LETAIRIS,1542,427119831.580001
VICTOZA 3-PAK,17531,424999034.8500002
TAMSULOSIN HCL,168628,410733395.340005
PRAVASTATIN SODIUM,181360,408341504.0800026
LUMIGAN,25717,402372378.7199981
EXELON,23805,398663095.2499989
POTASSIUM CHLORIDE,178840,396293758.23999506
TRADJENTA,30504,394694262.2100026
CELECOXIB,79361,387617002.7199974
PREZISTA,5137,383896045.9599995
LEVEMIR,29313,383338082.82999974
DEXILANT,42162,370556093.0099998
ISENTRESS,5258,367244211.26000094
JANUMET,29651,364948463.7500001
HUMALOG,30932,357654218.270001
FENOFIBRATE,155758,348065619.70000225
COMBIVENT RESPIMAT,41583,342248145.7000053
RANEXA,23872,336031756.04999703
GILENYA,1632,327682657.1800003
BENICAR,46259,324298191.1399973
FORTEO,5179,323047517.13000035
INVOKANA,23009,316124069.1399997
TRACLEER,1416,310156202.04999995
TRAVATAN Z,27470,304138215.9599984
TARCEVA,2155,301248706.1699996
LIDOCAINE,28959,298019605.529999
FENTANYL,63486,295687366.1099986
CLOBETASOL PROPIONATE,35975,293118947.72000194
HUMIRA,3041,292875992.99
MORPHINE SULFATE ER,57622,287800667.77000165
BYSTOLIC,52438,277320981.4799996
VALSARTAN,98108,275789687.419999
HYDROXYCHLOROQUINE SULFATE,22333,271948585.669999
NOVOLOG MIX 70-30 FLEXPEN,15241,269557784.19999963
H.P. ACTHAR,300,266197666.11000013
JAKAFI,1366,262592900.77000016
AMLODIPINE BESYLATE,269418,259497609.6099982
MYRBETRIQ,20846,258659085.9999994
DIVALPROEX SODIUM ER,39930,258236215.7800024
AVONEX PEN,2016,257657969.6300003
GAMMAGARD LIQUID,1011,257127357.52999976
SIMVASTATIN,236256,256910554.39000008
OMEGA-3 ACID ETHYL ESTERS,40562,253261468.18999892
OXYCODONE HCL,105192,252325186.3999997
VIMPAT,10297,251896058.32999977
LISINOPRIL,280369,248925319.82999986
AUBAGIO,1231,247741626.56000015
STRIBILD,2593,246401802.5500004
CREON,11181,244195010.55000004
RISPERDAL CONSTA,7731,238287017.67999932
AVONEX,2187,236227484.72000033
XIFAXAN,6746,233412874.59999925
PREMARIN,46773,230642866.6900018
INVEGA,7691,228816129.41000006
POMALYST,915,228198880.47999996
SYNTHROID,98838,228170511.14000013
RALOXIFENE HCL,39215,222866197.66000026
REYATAZ,4129,221994353.3399998
AFINITOR,1166,220634526.14999977
LOSARTAN POTASSIUM,215135,213653958.36999854
CLOPIDOGREL,191344,209582117.09999833
REBIF,1799,208723127.0299996
WELCHOL,17997,204714925.65999973
OPSUMIT,785,202972235.9499998
TIVICAY,2963,194038844.19999972
MULTAQ,11832,193593467.98999968
EPZICOM,3597,191124997.15999943
ESBRIET,958,190959715.43999994
TRIUMEQ,2094,189030852.58000016
ADCIRCA,1701,186742673.31000027
LINZESS,20209,186264752.3899997
COMBIGAN,20362,185459059.190001
VOLTAREN,56911,181825667.54999813
AVODART,25136,178836174.24000037
BETASERON,1458,178421696.63999993
WARFARIN SODIUM,178338,178032924.20999983
BENICAR HCT,27599,176506601.1200004
QUETIAPINE FUMARATE,109926,175651119.17999506
TASIGNA,1229,175208540.91999984
METFORMIN HCL,217806,174484523.64999706
PANTOPRAZOLE SODIUM,201633,171809538.7600035
ONGLYZA,18144,171721381.32999977
SPRYCEL,1175,169053015.27000007
DONEPEZIL HCL,124092,168770258.18999636
AMITIZA,20963,167688955.6399997
IBRANCE,883,166944515.84
VYTORIN,22996,164734955.86999932
XENAZINE,741,160528433.70000023
METHOTREXATE,25149,158232195.64999884
AZILECT,6126,157907886.2500008
SUBOXONE,7525,157756337.19000047
NORVIR,6293,154523378.36
DULERA,18390,152743192.69999886
PREDNISOLONE ACETATE,21737,152005813.3999991
AMPYRA,2054,149492978.38999993
ALPHAGAN P,15791,148921463.26000056
COMPLERA,2163,148240321.32000017
FLUTICASONE PROPIONATE,187975,145823574.93999794
ZOSTAVAX,14110,142624729.23000062
ESOMEPRAZOLE MAGNESIUM,26830,141974270.8200004
MONTELUKAST SODIUM,144964,141038569.9099996
OFEV,793,139101906.20000002
FLOVENT HFA,25096,137210706.9699997
METOPROLOL TARTRATE,229422,137129635.89999858
SUBSYS,359,136848769.63999993
METFORMIN HCL ER,93527,135039109.88999897
FUROSEMIDE,248395,134436208.50999868
ULORIC,17859,134150624.9300011
EFFIENT,12190,133362797.44000031
ENOXAPARIN SODIUM,15055,132799537.37999977
XYREM,707,131940955.68000002
HUMALOG MIX 75-25 KWIKPEN,7962,131215134.43000022
ANDROGEL,9066,131087376.65000021
VIREAD,4815,130688378.25000013
OXYBUTYNIN CHLORIDE ER,71430,129873309.52000053
ORENCIA,1585,129870163.07000002
ALLOPURINOL,152493,129240325.92000015
BD ULTRA-FINE PEN NEEDLE,77113,126453669.60000019
DOXYCYCLINE HYCLATE,76791,125563238.5600009
NASONEX,23253,125002845.88000059
PATADAY,18089,124504194.24999999
OPANA ER,6150,122981042.1299996
TOLTERODINE TARTRATE ER,27590,120905345.31
GAMUNEX-C,632,119739508.15999994
PROCRIT,3931,119539669.7599999
LIALDA,6876,116502436.96999994
NUEDEXTA,6869,115660807.9399998
BUPROPION XL,79054,115481390.65000094
ABILIFY MAINTENA,2655,115140367.41000022
DIVALPROEX SODIUM,56273,114841599.31999972
XELJANZ,1469,113709995.85000004
CARVEDILOL,186305,112728314.46000044
PRISTIQ ER,16795,112443496.71000017
VENTOLIN HFA,72045,111855425.8100003
QVAR,22949,110495384.14999987
HUMULIN 70-30,15642,110186235.32999994
AGGRENOX,14078,109865234.73000048
HUMULIN R U-500,2476,107297645.15000008
NIACIN ER,24009,107101357.75999966
ENALAPRIL MALEATE,91589,106816833.56000063
VENLAFAXINE HCL ER,109318,106146456.54000103
LATANOPROST,56352,106068238.58000001
AZOPT,9938,105927419.83999987
ESCITALOPRAM OXALATE,143568,105590293.8599996
VALSARTAN-HYDROCHLOROTHIAZIDE,79328,105590236.49000064
DICLOFENAC SODIUM,52953,105161408.2499991
PROLASTIN C,684,103855972.15
SERTRALINE HCL,189161,103646437.59999993
TRAMADOL HCL,219078,101272187.90000232
NEXAVAR,559,101117623.91000012
VICTOZA 2-PAK,9646,100296452.75999992
NOVOLIN 70-30,18699,100036672.77999967
TIKOSYN,4030,99908012.0899999
NOVOLOG MIX 70-30,9024,99829582.40000004
HYDROCHLOROTHIAZIDE,222497,99582953.33000068
ALPRAZOLAM,173221,99188490.98999904
BREO ELLIPTA,10166,97453408.21999975
OLANZAPINE,54109,97264474.78999889
ADEMPAS,433,97172180.17000005
TIZANIDINE HCL,71210,96429052.64999928
TOVIAZ,14568,94376953.28999996
CLOZAPINE,17006,94310800.26999998
INTELENCE,2584,93122981.94999991
ZIPRASIDONE HCL,22590,92942220.46999982
RAPAFLO,9392,92935082.04999991
FINASTERIDE,92296,91567741.41000001
VALGANCICLOVIR HCL,1219,90360305.61999983
LEVETIRACETAM,68952,90164867.72000095
FLUOXETINE HCL,141430,89854179.6900006
ECONAZOLE NITRATE,11106,89755491.6799999
ZOLPIDEM TARTRATE,161818,89222511.27999738
BUDESONIDE EC,5291,89124963.90999976
ILEVRO,4244,89090765.84000027
MIRTAZAPINE,107288,88874486.11999984
ISOSORBIDE MONONITRATE ER,110562,88022059.47999956
PROLIA,3249,87620678.02000013
ATENOLOL,181902,86525844.5999996
HUMULIN N,15034,86281601.13000011
CHLORPROMAZINE HCL,7903,86076582.46000013
ADVAIR HFA,9123,85435932.04999976
NIFEDIPINE ER,67641,85152966.32999933
DIGOXIN,62176,84912712.35999998
SANTYL,9682,84435466.73999973
RANITIDINE HCL,140586,84248141.63999912
PREDNISONE,227709,83533106.65999947
DOXAZOSIN MESYLATE,74389,83517169.28000022
DUREZOL,6054,83494399.70000017
CINRYZE,96,83356736.94999996
CIMZIA,1185,82778600.03999993
PIOGLITAZONE HCL,58669,82188344.61999962
LIDOCAINE-PRILOCAINE,13363,82139056.7399994
URSODIOL,10140,82124044.0399997
TRAZODONE HCL,177745,81770100.85000008
CARBIDOPA-LEVODOPA,47676,81664128.4000005
COLCRYS,16305,81624997.62999953
BACLOFEN,82319,81225165.85000022
DIOVAN,17409,80906895.73999988
BRILINTA,9190,80014847.86999975
AMLODIPINE BESYLATE-BENAZEPRIL,59622,77898729.56000035
VIEKIRA PAK,134,76476353.14
LOSARTAN-HYDROCHLOROTHIAZIDE,117800,74872812.8999998
BRIMONIDINE TARTRATE,22900,74242871.5900002
LANSOPRAZOLE,55431,74131909.00000037
COLCHICINE,18405,72977144.21999995
DALIRESP,10315,72973851.28999996
LORAZEPAM,165203,72842487.57000034
PAROXETINE HCL,119690,72167357.90000014
AMITRIPTYLINE HCL,107336,71539470.61000061
JANUMET XR,7967,71189151.05000013
SAPHRIS,4464,71019177.97000019
MEMANTINE HCL,28977,70515457.5900004
MODAFINIL,7658,70504101.62000018
OXYBUTYNIN CHLORIDE,72724,70482636.22999988
REBIF REBIDOSE,655,70367178.0500001
GLIMEPIRIDE,99514,69848196.38999987
HUMALOG MIX 75-25,6113,69830060.44000015
EXEMESTANE,5558,69546043.16000018
HYDRALAZINE HCL,93205,69056574.44000027
POLYETHYLENE GLYCOL 3350,79399,69053961.45999953
SEROSTIM,193,68939941.72000001
VIGAMOX,6066,68480588.94000004
CITALOPRAM HBR,169480,68272745.66000107
SIMPONI,891,67759982.64000003
RISPERIDONE,72642,67444410.40000108
DILTIAZEM 24HR ER,45594,65830385.780000724
CALCIUM ACETATE,12423,65605729.55000022
CARBAMAZEPINE,33607,64582407.0999998
TUDORZA PRESSAIR,8054,64136253.059999846
CLONAZEPAM,153261,63848245.979999766
SPIRIVA RESPIMAT,6515,63178794.14000027
TIMOLOL MALEATE,30709,63107962.10000018
TARGRETIN,85,62800152.08999999
ALENDRONATE SODIUM,140238,61896518.070000164
ASACOL HD,4439,61872195.879999995
AZOR,9418,61605623.87999981
KEPPRA,2516,61488569.91999981
VOTRIENT,466,61397305.710000016
LAMICTAL,2424,60142959.53999993
LOTEMAX,7071,58808583.669999935
SUTENT,409,58773360.07000002
PATANOL,8989,58770908.809999906
LOVASTATIN,111382,58134827.490000196
SUSTIVA,2614,57442558.41999987
TRIAMCINOLONE ACETONIDE,92637,56989701.3300006
LIDODERM,5486,56984907.97000013
FOSRENOL,2108,56932928.37999995
AZITHROMYCIN,179584,56611458.90999932
ZEMAIRA,321,56545188.250000045
FLUOCINONIDE,17139,55955205.17000016
ORENITRAM ER,226,55324595.71000004
LISINOPRIL-HYDROCHLOROTHIAZIDE,137884,54887916.14000079
FIRAZYR,47,54721886.21000002
KALETRA,2290,54665509.449999854
GLUMETZA,979,54602967.910000004
METRONIDAZOLE,44145,54303684.29000026
DIGOX,46133,53529837.26000026
BYDUREON PEN,3908,53299940.37000011
CYCLOBENZAPRINE HCL,101855,53041977.00000035
PROPRANOLOL HCL ER,29319,52783553.81999977
EXJADE,427,52344030.57000004
BYETTA,4844,51597965.99999996
STELARA,242,51321681.65000002
BUTRANS,5619,51321367.409999825
MELOXICAM,148110,51117534.569999635
JUXTAPID,91,51032176.33999999
CLONIDINE,16350,50509527.449999936
METHYLPREDNISOLONE,77459,50145690.9899995
ESTRACE,8870,50055301.35000007
VAGIFEM,8670,49643662.06999989
PROLENSA,3621,49526505.68999997
CUBICIN,1007,49383386.71000009
TRIAMTERENE-HYDROCHLOROTHIAZID,104334,49049025.599999994
ELMIRON,2906,48535549.479999855
RIVASTIGMINE,13438,48247481.04000023
SPIRONOLACTONE,121646,48197374.629999675
NEUPRO,2959,47662942.94000016
CLOMIPRAMINE HCL,4458,47597082.53000016
FENOFIBRIC ACID,17059,47298529.23000054
FLUOROURACIL,7554,47013743.279999964
RAMIPRIL,67701,47012301.32000019
FANAPT,2052,47005137.76000002
ROPINIROLE HCL,74732,46992915.73000011
ONFI,1563,46918645.56000007
PENTASA,3211,46897148.540000096
KLOR-CON M20,63819,46888430.02999969
DILTIAZEM 24HR CD,53044,46816057.610000156
ATROVENT HFA,8650,46758634.11999995
DEXTROAMPHETAMINE-AMPHETAMINE,25030,46694597.10000003
BUSPIRONE HCL,73396,46676212.49000044
AZELASTINE HCL,23908,46381329.48000008
KETOCONAZOLE,38995,45632221.52000005
CARBAMAZEPINE ER,13625,45329675.99999991
APRISO,4567,45085074.56000006
BYDUREON,3881,44921269.36000002
THALOMID,345,44857934.949999966
CARTIA XT,50022,44709938.37999969
INSULIN SYRINGE,71680,44514777.34999992
NOVOLIN N,11016,44278727.169999994
BUPROPION HCL SR,63385,44016493.659999564
AMIODARONE HCL,55388,43995020.35999971
GATTEX,73,43866379.21999999
SUMATRIPTAN SUCCINATE,37970,43828300.75000007
PHENYTOIN SODIUM EXTENDED,42788,43648486.87999931
IBANDRONATE SODIUM,23392,43647075.99999996
ANORO ELLIPTA,4869,43627749.69999989
CHLORTHALIDONE,38984,43085430.72000008
BUDESONIDE,5889,42919326.94000003
TEMAZEPAM,74164,42882587.93999968
BUMETANIDE,34641,42877252.54999972
CARAFATE,8910,42526481.40000007
CLOTRIMAZOLE-BETAMETHASONE,36054,42233678.870000154
CIPROFLOXACIN HCL,174018,42151995.429998964
LEVOFLOXACIN,116536,41962013.07000019
DORZOLAMIDE-TIMOLOL,22587,41848427.54999979
VIIBRYD,8850,41329229.449999966
LABETALOL HCL,36922,41084937.280000046
NUVIGIL,3530,41007189.58999989
KOMBIGLYZE XR,5125,40712178.900000006
ENTACAPONE,5416,40002931.65
PROMACTA,442,39920013.21000002
CIALIS,6736,39529125.97000004
LEFLUNOMIDE,5820,39335101.02999986
GLIPIZIDE,114144,39317110.33000012
DEXTROAMPHETAMINE-AMPHET ER,11169,39247714.09000004
OXYMORPHONE HCL ER,3608,39214215.01999999
TAMIFLU,9696,39129531.85999993
FAMOTIDINE,91196,39060625.10999992
BANZEL,856,39001251.15000001
VANCOMYCIN HCL,7910,38917599.91999997
NOVOLIN R,10557,38888461.17999998
XOLAIR,668,38839465.72000001
POTASSIUM CITRATE ER,8613,38812441.39000004
OTEZLA,925,38705970.209999986
SELZENTRY,1102,38544368.099999964
IBUPROFEN,136115,38318080.369999856
ENTECAVIR,1720,38298850.05000001
ESTRADIOL,52258,38158098.16999982
AMOXICILLIN-CLAVULANATE POTASS,102999,38148333.02000089
NITROFURANTOIN MONO-MACRO,46048,38048236.460000314
LAMOTRIGINE,60471,37908813.18999965
TRIBENZOR,5703,37805204.71999995
VERAPAMIL ER,64197,37556991.30000001
XALKORI,213,37432400.499999985
NYSTATIN,52291,37404824.31999956
NEULASTA,276,37367803.89999998
PRAMIPEXOLE DIHYDROCHLORIDE,48318,37105158.16000021
VALACYCLOVIR,42994,37100233.8899999
BRINTELLIX,5034,37020478.36999984
AMANTADINE,12777,37001427.39999994
HALOPERIDOL,26308,36930745.99999983
DESONIDE,7958,36505942.36000003
SUPREP,6389,36220289.55999992
LIVALO,7541,36083964.70999994
INLYTA,181,35962978.82
HUMULIN R,11009,35916083.52000006
NEUPOGEN,626,35872521.209999986
PLEGRIDY PEN,304,35699775.22000004
ACETAMINOPHEN-CODEINE,85476,35379266.139999956
TOPIRAMATE,65573,35244229.6899999
OLYSIO,82,35152080.300000004
BESIVANCE,2513,34905085.729999945
PRIVIGEN,196,34397062.809999995
ASMANEX,7040,34368434.429999985
PROPRANOLOL HCL,64842,34141172.12999973
TACROLIMUS,4094,33912025.409999855
VASCEPA,3387,33785697.29999995
REMICADE,222,33750236.029999994
CARBIDOPA-LEVODOPA-ENTACAPONE,3759,33638953.38999996
OXCARBAZEPINE,26282,33582152.379999936
ZENPEP,2416,33458719.650000013
COREG CR,6252,33436540.25000011
ONDANSETRON HCL,53069,32993368.640000112
CLONIDINE HCL,109017,32814073.74999949
ACYCLOVIR,41998,32704615.889999818
NITROSTAT,52078,32362300.750000022
GLIPIZIDE ER,57039,32205838.309999704
TOPAMAX,1721,32064272.509999987
METHADONE HCL,27756,31879338.189999938
PROSOL,2055,31652061.18000001
CEFUROXIME,25076,31615602.060000017
BUPRENORPHINE-NALOXONE,3121,31575190.030000027
NADOLOL,15448,31212163.209999926
NYSTATIN-TRIAMCINOLONE,10272,30913204.640000015
TOPROL XL,24313,30911518.40000025
SUCRALFATE,34734,30649919.81999988
PREZCOBIX,688,30609888.899999984
IRBESARTAN,39844,30602733.009999823
JALYN,5697,30406117.31999997
ACTEMRA,546,30016468.70999998
ARANESP,1150,29863534.29999998
STRATTERA,4252,29743906.31999999
ISOSORBIDE DINITRATE,20098,29113928.429999962
MECLIZINE HCL,64869,29080450.609999716
AMLODIPINE-VALSARTAN,10453,28866336.250000007
FAZACLO,929,27798366.17999998
TOBRAMYCIN-DEXAMETHASONE,9411,27578564.300000068
FLECAINIDE ACETATE,15451,27488717.939999864
FLUCONAZOLE,70232,27344950.220000237
CARBIDOPA-LEVODOPA ER,13276,27297025.49999987
GILOTRIF,258,26989516.33000001
MIDODRINE HCL,15726,26927176.840000015
CELEBREX,4578,26920589.830000043
RENAGEL,1237,26893629.039999977
METOLAZONE,27971,26713850.98000005
METHYLPHENIDATE HCL,18326,26668533.19999988
JENTADUETO,2753,26645174.899999965
HUMULIN 70/30 KWIKPEN,2773,26565402.13999994
CEPHALEXIN,134245,25790043.439999677
PROPAFENONE HCL ER,2450,25761772.250000052
COUMADIN,12267,25743607.269999966
OLANZAPINE ODT,5315,25544780.660000008
VELPHORO,856,25519303.260000013
BENAZEPRIL HCL,80668,25229389.77000031
HIZENTRA,250,25227870.38000001
CALCITRIOL,21945,25210932.169999957
LEXIVA,936,25183295.39999998
APOKYN,71,24930246.750000007
DRONABINOL,3127,24924640.199999984
CALCIPOTRIENE,2676,24906382.440000076
NUCYNTA ER,2089,24866219.720000006
NORTHERA,180,24718512.33999999
TOUJEO SOLOSTAR,2025,24661337.79999995
SILDENAFIL,3032,24546141.48999998
SAVELLA,5361,24329720.260000017
TYSABRI,173,24314561.93
BERINERT,17,24296835.800000004
NEVANAC,2177,24206013.589999937
DILTIAZEM ER,30189,24124750.889999963
DELZICOL,2880,24002566.94
DIAZEPAM,97685,23789550.440000083
ERIVEDGE,146,23776136.270000003
ARALAST NP,172,23751654.52000002
BENZTROPINE MESYLATE,34816,23685455.689999975
FARXIGA,3097,23545876.850000016
BUTALBITAL-ACETAMINOPHEN-CAFFE,20344,23540048.839999896
REPAGLINIDE,8911,23488585.75999991
BETAMETHASONE DIPROPIONATE,13369,23471546.580000028
LAMICTAL XR,782,23328040.8
NAPROXEN,95443,23234937.149999887
VIAGRA,2157,23210469.540000025
GALANTAMINE HBR,8990,23144076.810000006
HYDROMORPHONE HCL,26194,23142903.630000003
AMOXICILLIN,172089,23118562.389999747
SIMBRINZA,5357,22970838.39
KETOROLAC TROMETHAMINE,10460,22906283.709999874
LAMOTRIGINE ER,2011,22850952.280000027
GEMFIBROZIL,53137,22705851.52999995
RISEDRONATE SODIUM,5240,22088788.869999986
CICLOPIROX,12377,21887014.220000096
VENLAFAXINE HCL,29712,21769308.379999805
VYVANSE,4244,21746964.809999987
NUCYNTA,2261,21676413.270000033
FONDAPARINUX SODIUM,732,21546957.749999974
CHANTIX,5193,21538926.289999966
MYCOPHENOLATE MOFETIL,7834,21476711.109999992
METHYLPHENIDATE ER,5352,21430838.690000013
VALCYTE,342,21414487.850000005
PREVACID,3297,21323460.70000002
PERPHENAZINE,8474,21271592.259999964
MUPIROCIN,48651,21267885.470000193
SULFAMETHOXAZOLE-TRIMETHOPRIM,126252,21241200.700000457
ROZEREM,4191,21159682.0700001
ALBUTEROL SULFATE,15923,21115011.309999906
CHOLESTYRAMINE,10815,20971503.659999974
ANASTROZOLE,18287,20809822.82999999
HYDROMORPHONE ER,1210,20797382.769999996
LACTULOSE,36161,20661627.97999995
PERCOCET,933,20571949.640000034
DAKLINZA,53,20571755.76
BENAZEPRIL-HYDROCHLOROTHIAZIDE,14286,20536462.84000007
INVANZ,2015,20496384.06999998
ACETAZOLAMIDE,7113,20430705.170000035
CAPTOPRIL,10462,20244733.379999977
LAMIVUDINE-ZIDOVUDINE,1746,20034336.240000006
AVONEX ADMINISTRATION PACK,250,19945591.21
QUINAPRIL HCL,39789,19882890.699999943
METHENAMINE HIPPURATE,6854,19814573.63999997
CEFDINIR,21009,19700211.61000002
DOXEPIN HCL,26818,19640301.83000002
GAMMAKED,99,19608125.65
ABACAVIR,2002,19421354.80999999
GLIPIZIDE-METFORMIN,9334,19382475.45000009
FELODIPINE ER,19571,19368089.27999997
STIVARGA,132,19319122.759999998
PARICALCITOL,2806,19240959.90000005
TERAZOSIN HCL,62448,19239390.430000126
GLIPIZIDE XL,36449,19206596.999999903
OXYCODONE HCL ER,1634,19120524.27999998
ETODOLAC,11851,18975514.010000017
KALYDECO,51,18927258.98
SABRIL,65,18887371.440000005
NOXAFIL,177,18884674.650000002
TORSEMIDE,32624,18684616.189999983
ENABLEX,3755,18550371.689999983
RITUXAN,111,18469734.220000003
HUMULIN N KWIKPEN,1787,18266755.289999988
EPIPEN 2-PAK,1955,18115648.780000012
NATEGLINIDE,7426,18039902.770000055
FENTORA,88,17953060.470000003
IPRATROPIUM BROMIDE,23584,17949364.270000007
ENDOCET,7800,17945137.160000023
WELLBUTRIN XL,834,17844868.74000003
PILOCARPINE HCL,7069,17743487.900000036
DURAGESIC,856,17742752.09
BOSULIF,133,17558499.62
MEKINIST,99,17547280.409999996
AVASTIN,116,17191060.459999997
PIOGLITAZONE-METFORMIN,4621,17169889.30999999
NIFEDICAL XL,25756,17152798.820000038
LEVOCETIRIZINE DIHYDROCHLORIDE,22593,17015858.969999906
PREMPRO,6402,16984232.76000008
FLUOROMETHOLONE,5240,16932524.090000026
NITROFURANTOIN,17622,16914396.489999983
IPRATROPIUM-ALBUTEROL,16512,16909620.509999916
SOTALOL,27674,16894062.77000003
ESZOPICLONE,15319,16745958.379999889
TELMISARTAN,11315,16733965.789999953
OFLOXACIN,11014,16669330.870000018
TOLTERODINE TARTRATE,8154,16640616.009999977
CIPRODEX,3926,16572315.590000048
SEREVENT DISKUS,3290,16355209.269999979
MOVIPREP,3767,16337290.929999983
KEPPRA XR,878,16288919.999999987
ZYDELIG,138,16264155.510000005
PRIMIDONE,28898,16220367.269999955
HYDROXYZINE HCL,35034,16182745.540000014
ORKAMBI,46,16111612.720000003
NABUMETONE,22710,16103350.439999972
TAFINLAR,103,16083101.219999993
TEKTURNA,4972,16070159.160000019
ZOLPIDEM TARTRATE ER,11448,15908946.33999997
HUMALOG MIX 50-50 KWIKPEN,794,15765235.180000016
RYTARY,630,15710926.960000006
MORPHINE SULFATE,21956,15673076.829999913
JADENU,95,15614683.329999994
LUPRON DEPOT,368,15611391.589999987
LYNPARZA,169,15561417.670000004
LOVAZA,2817,15352770.08000001
TRULICITY,1157,15314554.640000006
KUVAN,52,15307576.679999994
PHENOBARBITAL,21098,15208975.04999989
CLOZARIL,640,15174676.420000002
ACITRETIN,946,15101067.51
VIMOVO,437,15009485.799999993
CLINDAMYCIN PHOSPHATE,8057,14934116.01
AMMONIUM LACTATE,14182,14927193.360000007
AZATHIOPRINE,12095,14852594.879999973
COLESTIPOL HCL,7324,14632470.660000013
CILOSTAZOL,26255,14619583.389999907
CYMBALTA,3139,14567392.859999957
DILANTIN,10090,14541489.709999971
ATOVAQUONE,636,14527910.240000006
DIPHENOXYLATE-ATROPINE,23375,14431499.450000009
FORADIL,2671,14409008.559999952
ACTIMMUNE,21,14237715.12
CARISOPRODOL,27021,14186898.540000018
DORZOLAMIDE HCL,13046,14118644.380000008
BARACLUDE,527,14064388.109999996
SAMSCA,143,14044484.19
APTIOM,606,13985766.050000012
ONDANSETRON ODT,29687,13972578.009999957
GRALISE,1521,13930208.860000001
RAVICTI,16,13918985.489999998
TEGRETOL XR,3993,13822244.129999975
FETZIMA,2443,13810475.840000002
HALOPERIDOL DECANOATE,5622,13805636.919999966
KALBITOR,18,13776933.3
KLOR-CON M10,26621,13776654.86999997
NORTRIPTYLINE HCL,42492,13642856.96000015
BUPROPION HCL,19008,13627472.080000056
HYDROCORTISONE,26908,13617231.46000004
ATELVIA,2004,13608530.259999992
DESOXIMETASONE,3925,13516637.569999969
LAMIVUDINE,2300,13415545.20000003
ICLUSIG,59,13371226.710000005
TROSPIUM CHLORIDE,5068,13332560.040000001
PENNSAID,316,13318306.479999993
EDURANT,676,13266247.479999986
DEPAKOTE ER,1757,13125291.819999982
ZYPREXA,1000,13083282.740000013
BISOPROLOL FUMARATE,15622,13060470.339999974
ERYTHROMYCIN,13368,13055223.030000085
OCTAGAM,57,13012074.549999999
NITROGLYCERIN PATCH,17004,12887324.189999966
BALSALAZIDE DISODIUM,3381,12747087.4
TAMOXIFEN CITRATE,10634,12711774.51999997
NYSTOP,14527,12568361.66999998
PROGRAF,762,12561961.12000001
CALCITONIN-SALMON,9172,12545349.44999998
SOMAVERT,81,12327391.389999997
FLECTOR,1345,12309326.02000001
PYRIDOSTIGMINE BROMIDE,5541,12276666.600000022
DYMISTA,2916,12221821.580000015
GLASSIA,75,12039601.199999996
ACTONEL,2587,11946556.649999991
APIDRA SOLOSTAR,1180,11901477.00999999
TELMISARTAN-HYDROCHLOROTHIAZID,5585,11766134.359999975
CANASA,856,11707989.970000008
PROMETHAZINE HCL,39058,11696794.000000048
DILTIAZEM HCL,28147,11690345.829999939
TRAMADOL HCL-ACETAMINOPHEN,17939,11615781.799999975
GATIFLOXACIN,1466,11610014.759999992
TESTOSTERONE CYPIONATE,10813,11591902.76000001
MEGESTROL ACETATE,15536,11492917.529999986
SOLIRIS,25,11491590.7
METAXALONE,2827,11478277.09
GLYBURIDE,24437,11476775.510000065
